{-4.1587, 5.6886, -0.6991}
|{-0.2868, 2.076, -1.1875}
{-4.1587, 5.6886, -0.6991}
|{0.0562, 1.3271, -0.723}
{-6.3949, 7.3694, -0.9984}
|{0.0562, 1.3271, -0.723}
{-6.3949, 7.3694, -0.9984}
|{0.2117, 1.0427, -0.5611}
{-6.0837, 7.5729, 0.9912}
|{0.2117, 1.0427, -0.5611}
{-6.0837, 7.5729, 0.9912}
|{-0.1931, 1.8139, -0.1744}
{-7.8362, 6.9935, 4.5729}
|{-0.1931, 1.8139, -0.1744}
{-7.8362, 6.9935, 4.5729}
|{-0.8983, 2.4339, 0.2336}
{-10.7021, 4.9392, 4.7429}
|{-0.8983, 2.4339, 0.2336}
{-10.7021, 4.9392, 4.7429}
|{-0.8248, 1.7021, 0.5915}
{-11.9375, 2.988, 3.0813}
|{-0.8248, 1.7021, 0.5915}
{-11.9375, 2.988, 3.0813}
|{-0.0919, -0.0417, 0.7619}
{-13.4817, -0.1389, 2.9066}
|{-0.0919, -0.0417, 0.7619}
{-13.4817, -0.1389, 2.9066}
|{0.4439, -1.3563, 0.6852}
{-13.9654, -3.0143, 1.9393}
|{0.4439, -1.3563, 0.6852}
{-13.9654, -3.0143, 1.9393}
|{0.8573, -2.1936, 0.3816}
{-15.2942, -3.5386, 1.1301}
|{0.8573, -2.1936, 0.3816}
{-15.2942, -3.5386, 1.1301}
|{1.1055, -2.168, -0.266}
{-13.6493, -3.7445, 1.6712}
|{1.1055, -2.168, -0.266}
{-13.6493, -3.7445, 1.6712}
|{0.9297, -1.3829, -0.7262}
{-11.5879, -3.3016, 1.0343}
|{0.9297, -1.3829, -0.7262}
{-11.5879, -3.3016, 1.0343}
|{0.8924, -1.1826, -1.0288}
{-10.0293, -0.3328, -1.2905}
|{0.8924, -1.1826, -1.0288}
{-10.0293, -0.3328, -1.2905}
|{1.1683, -1.2274, -1.4091}
{-8.2193, 1.8172, -2.3631}
|{1.1683, -1.2274, -1.4091}
{-8.2193, 1.8172, -2.3631}
|{1.5241, -0.731, -1.4283}
{-7.5465, 4.4484, -2.241}
|{1.5241, -0.731, -1.4283}
{-7.5465, 4.4484, -2.241}
|{1.799, -0.0428, -1.0842}
{-6.7157, 2.1332, -2.7222}
|{1.799, -0.0428, -1.0842}
{-6.7157, 2.1332, -2.7222}
|{2.0908, 0.1788, -0.6517}
{-8.2073, 0.2538, -1.8747}
|{2.0908, 0.1788, -0.6517}
{-8.2073, 0.2538, -1.8747}
|{2.1718, 0.1415, -0.7529}
{-10.8553, 3.462, 1.0391}
|{2.1718, 0.1415, -0.7529}
{-10.8553, 3.462, 1.0391}
|{1.6072, 0.2033, -1.1502}
{-9.3948, 2.0949, 2.4636}
|{1.6072, 0.2033, -1.1502}
{-9.3948, 2.0949, 2.4636}
|{0.8935, 0.4547, -0.5665}
{-9.4715, 1.7957, 2.32}
|{0.8935, 0.4547, -0.5665}
{-9.4715, 1.7957, 2.32}
|{0.3619, 0.2022, -0.331}
{-9.3541, 0.8547, 1.3503}
|{0.3619, 0.2022, -0.331}
