{2.2577, 1.0223, 5.8227}
|Stopped!{2.2577, 1.0223, 5.8227}
|{0.1296, -0.4969, 0.1051}
{1.8699, 0.7135, 3.893}
|{0.1296, -0.4969, 0.1051}
{1.8699, 0.7135, 3.893}
|{0.0891, -0.6375, 0.3937}
{1.6113, 0.1604, 2.5043}
|{0.0891, -0.6375, 0.3937}
{1.6113, 0.1604, 2.5043}
|{0.1487, -1.2639, 0.6995}
{2.1117, 0.0215, 2.229}
|{0.1487, -1.2639, 0.6995}
{2.1117, 0.0215, 2.229}
|{0.1764, -2.0948, 0.9818}
{2.5714, -0.3112, 2.5211}
|{0.1764, -2.0948, 0.9818}
{2.5714, -0.3112, 2.5211}
|{0.2244, -2.7989, 1.1085}
{3.3782, -0.5004, 2.8156}
|{0.2244, -2.7989, 1.1085}
{3.3782, -0.5004, 2.8156}
|{0.1338, -3.0248, 1.1522}
{4.6112, 0.9649, 4.6759}
|{0.1338, -3.0248, 1.1522}
{4.6112, 0.9649, 4.6759}
|{-0.6609, -2.3302, 1.1703}
{4.5945, 1.6305, 8.406}
|{-0.6609, -2.3302, 1.1703}
{4.5945, 1.6305, 8.406}
|{-2.2087, -0.6343, 0.9828}
{4.8937, 1.7933, 13.2328}
|{-2.2087, -0.6343, 0.9828}
{4.8937, 1.7933, 13.2328}
|{-3.4593, 1.0073, 0.5482}
{3.4429, 0.7853, 13.2471}
|{-3.4593, 1.0073, 0.5482}
{3.4429, 0.7853, 13.2471}
|{-3.5158, 1.2203, -0.0643}
{2.332, 1.1756, 13.113}
|{-3.5158, 1.2203, -0.0643}
{2.332, 1.1756, 13.113}
|{-2.9629, 0.3266, -0.5852}
{4.2306, 2.6911, 15.3947}
|{-2.9629, 0.3266, -0.5852}
{4.2306, 2.6911, 15.3947}
|{-2.4324, -0.6524, -0.7866}
{3.3112, 3.9073, 19.2135}
|{-2.4324, -0.6524, -0.7866}
{3.3112, 3.9073, 19.2135}
|{-2.5315, -0.1581, -1.1061}
{0.4286, 3.2034, 19.6133}
|{-2.5315, -0.1581, -1.1061}
{0.4286, 3.2034, 19.6133}
|{-2.7328, 1.2981, -1.4758}
{-2.1404, 2.0686, 19.1752}
