{0.5674, 3.869, 8.8753}
|Stopped!{0.5674, 3.869, 8.8753}
|{-0.2234, 0.0726, 0.518}
{0.3615, 3.8618, 9.4715}
|{-0.2234, 0.0726, 0.518}
{0.3615, 3.8618, 9.4715}
|{-0.3246, 0.0971, 0.4275}
{0.2083, 3.8714, 9.5481}
|{-0.3246, 0.0971, 0.4275}
{0.2083, 3.8714, 9.5481}
|{-0.2341, 0.1664, 0.3668}
{0.2203, 3.802, 9.1506}
|{-0.2341, 0.1664, 0.3668}
{0.2203, 3.802, 9.1506}
|{-0.0903, 0.3741, 0.4158}
{0.6105, 3.5602, 8.3222}
|{-0.0903, 0.3741, 0.4158}
{0.6105, 3.5602, 8.3222}
|{-0.0349, 0.5882, 0.4786}
{0.5531, 3.7493, 8.667}
|{-0.0349, 0.5882, 0.4786}
{0.5531, 3.7493, 8.667}
|{-0.1755, 0.5328, 0.4179}
{-1.5658, 4.2258, 9.9311}
|{-0.1755, 0.5328, 0.4179}
{-1.5658, 4.2258, 9.9311}
|{-0.3822, 0.5914, 0.2134}
{-0.3974, 4.4365, 9.8665}
|{-0.3822, 0.5914, 0.2134}
{-0.3974, 4.4365, 9.8665}
|{-0.3385, 0.8077, 0.0078}
{-0.1915, 4.5873, 9.0932}
|{-0.3385, 0.8077, 0.0078}
{-0.1915, 4.5873, 9.0932}
|{-0.2298, 1.254, -0.1691}
{-0.0359, 3.8044, 8.3749}
|{-0.2298, 1.254, -0.1691}
{-0.0359, 3.8044, 8.3749}
|{-0.3406, 1.8591, -0.5739}
{-0.3065, 3.3279, 8.3965}
|{-0.3406, 1.8591, -0.5739}
{-0.3065, 3.3279, 8.3965}
|{-0.5036, 2.0839, -1.1108}
{-2.5522, 1.6951, 8.5617}
|{-0.5036, 2.0839, -1.1108}
{-2.5522, 1.6951, 8.5617}
|{-0.608, 1.8101, -1.457}
{-3.6152, 2.0063, 8.7939}
|{-0.608, 1.8101, -1.457}
{-3.6152, 2.0063, 8.7939}
|{-0.5185, 0.8098, -0.9457}
{-1.798, 3.4429, 9.5193}
|{-0.5185, 0.8098, -0.9457}
{-1.798, 3.4429, 9.5193}
|{-0.3694, -0.3311, -0.0562}
{-2.4062, 2.5307, 8.9423}
|{-0.3694, -0.3311, -0.0562}
{-2.4062, 2.5307, 8.9423}
|{-0.2927, -0.6677, -0.0029}
{-2.5115, 2.4445, 7.7979}
|{-0.2927, -0.6677, -0.0029}
{-2.5115, 2.4445, 7.7979}
|{-0.2213, -0.7657, 0.0237}
{-3.8762, 1.913, 7.592}
|{-0.2213, -0.7657, 0.0237}
{-3.8762, 1.913, 7.592}
|{-0.3055, -0.2331, 0.0312}
{-5.9592, 0.7494, 7.0174}
|{-0.3055, -0.2331, 0.0312}
{-5.9592, 0.7494, 7.0174}
|{-0.4077, 0.617, 0.0472}
{-6.4859, -0.3831, 6.5505}
|{-0.4077, 0.617, 0.0472}
{-6.4859, -0.3831, 6.5505}
|{-0.3587, 1.1059, 0.0482}
{-5.0685, 0.5148, 6.2441}
|{-0.3587, 1.1059, 0.0482}
{-5.0685, 0.5148, 6.2441}
|{-0.314, 1.5161, 0.1995}
{-6.7924, -1.8866, 4.3551}
|{-0.314, 1.5161, 0.1995}
{-6.7924, -1.8866, 4.3551}
|{-0.0796, 2.2511, 0.3465}
{-6.7109, -2.1955, 2.1835}
|{-0.0796, 2.2511, 0.3465}
{-6.7109, -2.1955, 2.1835}
|{0.372, 3.4698, 0.4264}
{-5.6, -3.055, 1.0104}
|{0.372, 3.4698, 0.4264}
{-5.6, -3.055, 1.0104}
|{0.4999, 4.8557, 0.5809}
{-4.4317, -4.1132, -0.7183}
|{0.4999, 4.8557, 0.5809}
{-4.4317, -4.1132, -0.7183}
|{0.3262, 5.644, 0.4562}
{-4.7573, -5.1404, -1.652}
|{0.3262, 5.644, 0.4562}
{-4.7573, -5.1404, -1.652}
|{-0.363, 5.7803, 0.0301}
