{2.1332, 2.4325, 5.4181}
|Stopped!{2.1332, 2.4325, 5.4181}
|{-0.7034, -0.4474, 0.1092}
{0.9864, 1.7047, 7.6471}
|{-0.7034, -0.4474, 0.1092}
{0.9864, 1.7047, 7.6471}
|{-1.1156, -0.6764, -0.1433}
{0.9385, 2.5019, 10.2113}
|{-1.1156, -0.6764, -0.1433}
{0.9385, 2.5019, 10.2113}
|{-1.318, -0.4911, -0.3244}
{2.2482, 1.7741, 10.8505}
|{-1.318, -0.4911, -0.3244}
{2.2482, 1.7741, 10.8505}
|{-1.1753, 0.2578, -0.465}
{2.739, 0.6081, 10.5967}
|{-1.1753, 0.2578, -0.465}
{2.739, 0.6081, 10.5967}
|{-0.7353, 0.6946, -0.7526}
{-3.4285, 2.7725, 10.9487}
|{-0.7353, 0.6946, -0.7526}
{-3.4285, 2.7725, 10.9487}
|{-0.4861, 0.6743, -0.9433}
{-4.0055, 2.9401, 10.9319}
|{-0.4861, 0.6743, -0.9433}
{-4.0055, 2.9401, 10.9319}
|{-0.3156, 1.1792, -0.6216}
{-3.5099, 3.225, 10.2232}
|{-0.3156, 1.1792, -0.6216}
{-3.5099, 3.225, 10.2232}
|{-0.273, 1.322, -0.1966}
{-3.1316, 3.3662, 7.4412}
|{-0.273, 1.322, -0.1966}
{-3.1316, 3.3662, 7.4412}
|{-0.2432, 1.2964, -0.0592}
{-3.6105, 4.4341, 6.0118}
|{-0.2432, 1.2964, -0.0592}
{-3.6105, 4.4341, 6.0118}
|{-0.6182, 0.882, -0.1572}
{-5.2026, 3.1292, 7.9296}
|{-0.6182, 0.882, -0.1572}
{-5.2026, 3.1292, 7.9296}
|{-1.6941, 1.0301, -0.236}
{-5.3127, 1.5682, 14.686}
|{-1.6941, 1.0301, -0.236}
{-5.3127, 1.5682, 14.686}
|{-2.5878, 1.9569, -0.2189}
{-5.7269, 4.2832, 14.9805}
|{-2.5878, 1.9569, -0.2189}
{-5.7269, 4.2832, 14.9805}
|{-1.9401, 1.6991, -0.1923}
{-5.8155, 2.9736, 11.6023}
|{-1.9401, 1.6991, -0.1923}
{-5.8155, 2.9736, 11.6023}
|{-0.4765, 0.8224, 0.074}
{-4.4508, 2.6528, 10.082}
|{-0.4765, 0.8224, 0.074}
{-4.4508, 2.6528, 10.082}
|{0.3864, 0.0703, 0.2423}
{-5.1404, 2.5881, 9.5217}
|{0.3864, 0.0703, 0.2423}
{-5.1404, 2.5881, 9.5217}
|{0.7837, -0.6136, 0.2487}
{-4.5729, 2.636, 9.584}
|{0.7837, -0.6136, 0.2487}
{-4.5729, 2.636, 9.584}
|{0.9712, -1.0514, 0.139}
{-3.9049, 2.9137, 9.9048}
|{0.9712, -1.0514, 0.139}
{-3.9049, 2.9137, 9.9048}
|{0.8956, -1.0546, 0.0665}
{-3.711, 3.1029, 10.4675}
|{0.8956, -1.0546, 0.0665}
{-3.711, 3.1029, 10.4675}
|{0.8018, -0.8448, 0.0751}
{-2.7773, 2.8395, 9.9}
|{0.8018, -0.8448, 0.0751}
{-2.7773, 2.8395, 9.9}
|{0.9041, -0.6807, 0.2157}
{-2.4373, 2.8012, 8.3366}
|{0.9041, -0.6807, 0.2157}
{-2.4373, 2.8012, 8.3366}
|{1.0319, -0.4953, 0.3339}
{-1.6496, 3.4117, 7.027}
|{1.0319, -0.4953, 0.3339}
{-1.6496, 3.4117, 7.027}
|{1.0298, -0.4314, 0.352}
{-0.8906, 2.5929, 6.4835}
|{1.0298, -0.4314, 0.352}
{-0.8906, 2.5929, 6.4835}
|{0.8466, -0.6967, 0.2221}
{-1.6783, 3.1963, 7.5298}
|{0.8466, -0.6967, 0.2221}
{-1.6783, 3.1963, 7.5298}
|{0.6133, -1.0514, 0.0591}
{-2.9449, 3.1268, 9.0525}
|{0.6133, -1.0514, 0.0591}
{-2.9449, 3.1268, 9.0525}
|{0.4663, -1.6149, -0.0304}
{-1.1349, 3.2729, 9.3757}
|{0.4663, -1.6149, -0.0304}
{-1.1349, 3.2729, 9.3757}
|{0.3417, -1.6916, 0.0772}
{-1.0271, 2.7509, 8.7197}
|{0.3417, -1.6916, 0.0772}
{-1.0271, 2.7509, 8.7197}
|{0.1073, -1.2623, 0.0452}
{-1.2354, 3.2896, 9.991}
|{0.1073, -1.2623, 0.0452}
{-1.2354, 3.2896, 9.991}
|{-0.2751, -0.7531, -0.0016}
{-0.3759, 3.2513, 10.2376}
|{-0.2751, -0.7531, -0.0016}
{-0.3759, 3.2513, 10.2376}
|{-0.2879, -0.5348, -0.04}
{-1.0822, 2.6504, 10.003}
|{-0.2879, -0.5348, -0.04}
{-1.0822, 2.6504, 10.003}
|{-0.0866, -0.3611, -0.1114}
{-1.5778, 2.5953, 10.0724}
|{-0.0866, -0.3611, -0.1114}
{-1.5778, 2.5953, 10.0724}
|{-0.0408, 0.0309, -0.1881}
{-1.1612, 2.9449, 9.5744}
|{-0.0408, 0.0309, -0.1881}
{-1.1612, 2.9449, 9.5744}
|{0.1382, 0.2716, -0.2445}
{-0.8571, 2.8108, 8.1283}
|{0.1382, 0.2716, -0.2445}
{-0.8571, 2.8108, 8.1283}
|{0.3651, 0.2194, -0.3308}
{-0.2873, 3.7637, 8.4755}
