{-2.5259, 4.8937, 9.9096}
|Stopped!{-2.5259, 4.8937, 9.9096}
|{-0.3577, -0.3551, 0.3905}
{-2.897, 3.5195, 9.9982}
|{-0.3577, -0.3551, 0.3905}
{-2.897, 3.5195, 9.9982}
|{-0.3865, -0.0153, 0.2743}
{-4.2353, 3.3279, 8.2696}
|{-0.3865, -0.0153, 0.2743}
{-4.2353, 3.3279, 8.2696}
|{-0.1681, 0.1935, 0.3276}
{-3.7086, 3.5578, 7.027}
|{-0.1681, 0.1935, 0.3276}
{-3.7086, 3.5578, 7.027}
|{0.0844, -0.0547, 0.6472}
{-3.158, 3.9002, 6.7924}
|{0.0844, -0.0547, 0.6472}
{-3.158, 3.9002, 6.7924}
|{0.1664, -0.353, 0.8847}
{-2.8443, 3.6248, 7.0844}
|{0.1664, -0.353, 0.8847}
{-2.8443, 3.6248, 7.0844}
|{0.0077, -0.5426, 0.905}
{-2.2577, 3.541, 7.8578}
|{0.0077, -0.5426, 0.905}
{-2.2577, 3.541, 7.8578}
|{-0.2629, -0.418, 0.8325}
{-1.6472, 3.9696, 9.7827}
|{-0.2629, -0.418, 0.8325}
{-1.6472, 3.9696, 9.7827}
|{-0.559, -0.1336, 0.7665}
{-1.3671, 3.8906, 9.6127}
|{-0.559, -0.1336, 0.7665}
{-1.3671, 3.8906, 9.6127}
|{-0.5697, 0.0891, 0.661}
{-1.8292, 4.1635, 7.7261}
|{-0.5697, 0.0891, 0.661}
{-1.8292, 4.1635, 7.7261}
|{-0.2405, 0.0198, 0.5321}
{-0.6369, 4.8459, 8.3677}
|{-0.2405, 0.0198, 0.5321}
{-0.6369, 4.8459, 8.3677}
|{-0.0051, -0.3253, 0.449}
{-1.561, 4.1252, 9.2943}
|{-0.0051, -0.3253, 0.449}
{-1.561, 4.1252, 9.2943}
|{0.1089, -0.4382, 0.2275}
{-1.913, 3.3399, 8.7532}
|{0.1089, -0.4382, 0.2275}
{-1.913, 3.3399, 8.7532}
|{0.1302, -0.1591, 0.1145}
{-1.5251, 3.9337, 8.4156}
|{0.1302, -0.1591, 0.1145}
{-1.5251, 3.9337, 8.4156}
|{-0.0573, 0.0699, 0.301}
{-2.4852, 3.2777, 8.5258}
|{-0.0573, 0.0699, 0.301}
{-2.4852, 3.2777, 8.5258}
|{-0.3055, 0.1285, 0.514}
{-2.2027, 4.142, 9.5241}
|{-0.3055, 0.1285, 0.514}
{-2.2027, 4.142, 9.5241}
|{-0.346, 0.0337, 0.7228}
{-1.8292, 4.4197, 9.0668}
|{-0.346, 0.0337, 0.7228}
{-1.8292, 4.4197, 9.0668}
|{-0.0861, -0.1304, 0.7217}
{-0.3089, 4.4221, 7.9871}
|{-0.0861, -0.1304, 0.7217}
{-0.3089, 4.4221, 7.9871}
|{0.1142, -0.1293, 0.5289}
{-1.4365, 4.2832, 7.2951}
|{0.1142, -0.1293, 0.5289}
{-1.4365, 4.2832, 7.2951}
|{-0.0754, 0.0124, 0.1881}
{-3.3399, 4.3335, 10.7739}
|{-0.0754, 0.0124, 0.1881}
{-3.3399, 4.3335, 10.7739}
|{-0.5345, 0.1019, 0.105}
{-2.6959, 4.3, 11.1043}
|{-0.5345, 0.1019, 0.105}
{-2.6959, 4.3, 11.1043}
|{-0.445, -0.0941, 0.2051}
{-1.664, 3.9792, 9.3757}
|{-0.445, -0.0941, 0.2051}
{-1.664, 3.9792, 9.3757}
|{0.111, -0.2007, 0.1966}
{-1.992, 3.5865, 6.845}
|{0.111, -0.2007, 0.1966}
{-1.992, 3.5865, 6.845}
|{0.1781, -0.0153, 0.0869}
{-2.2936, 4.707, 7.1563}
|{0.1781, -0.0153, 0.0869}
{-2.2936, 4.707, 7.1563}
|{-0.4195, 0.2787, 0.1497}
{-2.7892, 4.2689, 7.5537}
|{-0.4195, 0.2787, 0.1497}
{-2.7892, 4.2689, 7.5537}
|{-0.754, 0.4342, 0.1039}
{-2.897, 3.8954, 7.5178}
|{-0.754, 0.4342, 0.1039}
{-2.897, 3.8954, 7.5178}
|{-0.803, 0.3479, 0.0549}
{-3.3232, 3.134, 7.7668}
|{-0.803, 0.3479, 0.0549}
{-3.3232, 3.134, 7.7668}
|{-0.7678, 0.1551, 0.0592}
{-2.5402, 3.3232, 6.6655}
|{-0.7678, 0.1551, 0.0592}
{-2.5402, 3.3232, 6.6655}
|{-0.7337, 0.1338, -0.0538}
{-3.2801, 4.1827, 4.7238}
|{-0.7337, 0.1338, -0.0538}
{-3.2801, 4.1827, 4.7238}
|{-0.7146, 0.2116, 0.0123}
{-4.3838, 2.4421, 4.3167}
|{-0.7146, 0.2116, 0.0123}
{-4.3838, 2.4421, 4.3167}
|{-0.7625, 0.7954, 0.2072}
{-4.1994, 2.6456, 5.3032}
|{-0.7625, 0.7954, 0.2072}
{-4.1994, 2.6456, 5.3032}
|{-0.9244, 1.2449, 0.2552}
{-2.7677, 2.0327, 5.9592}
|{-0.9244, 1.2449, 0.2552}
{-2.7677, 2.0327, 5.9592}
|{-1.1375, 1.3461, 0.2136}
{-2.0063, 1.2546, 6.1746}
|{-1.1375, 1.3461, 0.2136}
