{-0.0694, 4.2449, 8.4252}
|{0.0061, -0.6679, 0.0452}
{-0.3783, 4.0079, 9.0381}
|{0.0061, -0.6679, 0.0452}
{-0.3783, 4.0079, 9.0381}
|{-0.1313, -0.6615, -0.0102}
{-0.7015, 4.2784, 10.1323}
|{-0.1313, -0.6615, -0.0102}
{-0.7015, 4.2784, 10.1323}
|{-0.2368, -0.7254, -0.0357}
{-0.2658, 4.3527, 10.5417}
|{-0.2368, -0.7254, -0.0357}
{-0.2658, 4.3527, 10.5417}
|{-0.1654, -0.8256, 0.0037}
{-0.2801, 4.3838, 10.149}
|{-0.1654, -0.8256, 0.0037}
{-0.2801, 4.3838, 10.149}
|{0.0157, -0.7468, -0.0102}
{-0.0479, 4.3024, 9.6702}
|{0.0157, -0.7468, -0.0102}
{-0.0479, 4.3024, 9.6702}
|{0.1701, -0.6253, -0.0464}
{-0.103, 4.3503, 9.2656}
|{0.1701, -0.6253, -0.0464}
{-0.103, 4.3503, 9.2656}
|{0.233, -0.6338, -0.0677}
{0.1484, 4.3407, 8.7149}
|{0.233, -0.6338, -0.0677}
{0.1484, 4.3407, 8.7149}
|{0.2191, -0.6147, -0.0762}
{0.3998, 4.3886, 9.0908}
|{0.2191, -0.6147, -0.0762}
{0.3998, 4.3886, 9.0908}
|{0.1137, -0.5571, -0.0634}
{0.2849, 4.6088, 9.6055}
|{0.1137, -0.5571, -0.0634}
{0.2849, 4.6088, 9.6055}
|{0.0647, -0.5262, -0.0741}
{0.4812, 4.5418, 9.2081}
|{0.0647, -0.5262, -0.0741}
{0.4812, 4.5418, 9.2081}
|{0.1627, -0.457, -0.0943}
{0.5483, 4.4796, 8.7819}
|{0.1627, -0.457, -0.0943}
{0.5483, 4.4796, 8.7819}
|{0.2458, -0.3846, -0.1124}
{0.5052, 4.4077, 8.5162}
|{0.2458, -0.3846, -0.1124}
{0.5052, 4.4077, 8.5162}
|{0.2777, -0.2961, -0.1412}
{0.4812, 4.4149, 7.8051}
|{0.2777, -0.2961, -0.1412}
{0.4812, 4.4149, 7.8051}
|{0.2447, -0.1566, -0.1401}
{0.4477, 3.9576, 6.8977}
|{0.2447, -0.1566, -0.1401}
{0.4477, 3.9576, 6.8977}
|{0.1265, -0.0128, -0.0964}
{1.2617, 4.4245, 7.1275}
|{0.1265, -0.0128, -0.0964}
{1.2617, 4.4245, 7.1275}
|{-0.0663, 0.196, -0.0432}
{-0.3926, 3.9744, 7.4771}
|{-0.0663, 0.196, -0.0432}
{-0.3926, 3.9744, 7.4771}
|{-0.1771, 0.8096, -0.0943}
{1.4916, 2.7533, 7.1946}
|{-0.1771, 0.8096, -0.0943}
{1.4916, 2.7533, 7.1946}
|{-0.0972, 1.6299, 0.0026}
{2.0375, 2.5738, 6.6822}
|{-0.0972, 1.6299, 0.0026}
{2.0375, 2.5738, 6.6822}
|{-0.0365, 2.0815, -0.1103}
{2.4301, 2.49, 6.2106}
|{-0.0365, 2.0815, -0.1103}
{2.4301, 2.49, 6.2106}
|{-0.2219, 2.0442, -0.2189}
{4.4508, 2.9664, 9.7516}
|{-0.2219, 2.0442, -0.2189}
{4.4508, 2.9664, 9.7516}
|{-0.8397, 2.2626, -0.3617}
{-0.5626, 3.6248, 11.8058}
|{-0.8397, 2.2626, -0.3617}
{-0.5626, 3.6248, 11.8058}
|{-1.3777, 3.3588, -0.5321}
{-1.8292, -0.3256, 10.7548}
|{-1.3777, 3.3588, -0.5321}
{-1.8292, -0.3256, 10.7548}
|{-1.5982, 5.6874, -0.3574}
{-1.9848, 0.2346, 3.3184}
|{-1.5982, 5.6874, -0.3574}
{-1.9848, 0.2346, 3.3184}
|{-2.1308, 8.6968, -0.2445}
{3.7541, 0.3855, 3.9528}
|{-2.1308, 8.6968, -0.2445}
{3.7541, 0.3855, 3.9528}
|{-2.8264, 8.0779, -0.5886}
{-4.9943, -2.1452, 8.509}
|{-2.8264, 8.0779, -0.5886}
{-4.9943, -2.1452, 8.509}
|{-2.3236, 2.6099, -1.428}
{-9.3326, -5.4372, 9.8904}
|{-2.3236, 2.6099, -1.428}
{-9.3326, -5.4372, 9.8904}
|{-2.3194, 1.5553, -1.7646}
{-4.6878, -4.47, 6.948}
|{-2.3194, 1.5553, -1.7646}
{-4.6878, -4.47, 6.948}
|{-2.1106, 1.5723, -0.9881}
{3.1508, -5.0589, 2.4038}
|{-2.1106, 1.5723, -0.9881}
{3.1508, -5.0589, 2.4038}
|{-1.4384, 1.1697, -0.3095}
{6.1651, -4.2952, 1.2641}
|{-1.4384, 1.1697, -0.3095}
{6.1651, -4.2952, 1.2641}
|{-1.5428, 0.3537, -0.856}
{1.3216, -6.3063, 4.8937}
|{-1.5428, 0.3537, -0.856}
{1.3216, -6.3063, 4.8937}
|{-2.1191, -0.4048, -2.2493}
{0.34, -8.0206, 5.4755}
|{-2.1191, -0.4048, -2.2493}
{0.34, -8.0206, 5.4755}
|{-2.2406, -0.294, -3.3881}
{-2.4445, -11.4754, 5.2194}
|{-2.2406, -0.294, -3.3881}
{-2.4445, -11.4754, 5.2194}
|{-2.0083, 0.3079, -4.3969}
{-7.5106, -14.3844, 1.6328}
|{-2.0083, 0.3079, -4.3969}
{-7.5106, -14.3844, 1.6328}
|{-1.9103, 1.1292, -5.1373}
{-14.5927, -14.7411, -2.3822}
|{-1.9103, 1.1292, -5.1373}
{-14.5927, -14.7411, -2.3822}
|{-2.133, 2.0528, -5.4963}
{-18.2845, -16.3452, -2.1189}
|{-2.133, 2.0528, -5.4963}
{-18.2845, -16.3452, -2.1189}
|{-2.8659, 2.2903, -5.329}
{-19.6127, -14.4299, 0.2059}
|{-2.8659, 2.2903, -5.329}
{-19.6127, -14.4299, 0.2059}
|{-3.9386, 2.4895, -4.6547}
{-16.6038, -13.7954, 2.0925}
|{-3.9386, 2.4895, -4.6547}
{-16.6038, -13.7954, 2.0925}
|{-4.3839, 2.6152, -3.8536}
{-17.7722, -13.6589, 1.3671}
|{-4.3839, 2.6152, -3.8536}
{-17.7722, -13.6589, 1.3671}
|{-4.0739, 2.6696, -3.3551}
{-19.6127, -13.6422, 0.1269}
|{-4.0739, 2.6696, -3.3551}
{-19.6127, -13.6422, 0.1269}
|{-3.6787, 3.085, -2.9237}
{-19.6127, -13.2878, -0.2346}
|{-3.6787, 3.085, -2.9237}
{-19.6127, -13.2878, -0.2346}
|{-3.6307, 4.2728, -1.9713}
{-18.5982, -9.584, -0.182}
|{-3.6307, 4.2728, -1.9713}
{-18.5982, -9.584, -0.182}
|{-3.6765, 6.1338, -0.7186}
{-13.8648, -7.1754, -0.8954}
|{-3.6765, 6.1338, -0.7186}
{-13.8648, -7.1754, -0.8954}
|{-3.2206, 7.3056, -0.0592}
{-12.651, -9.2249, 4.142}
|{-3.2206, 7.3056, -0.0592}
{-12.651, -9.2249, 4.142}
|{-2.0179, 6.2648, 0.041}
{-10.3741, -6.6511, -2.2553}
|{-2.0179, 6.2648, 0.041}
{-10.3741, -6.6511, -2.2553}
|{-0.746, 5.7972, 0.1283}
{-14.5783, -11.2815, -15.5456}
|{-0.746, 5.7972, 0.1283}
{-14.5783, -11.2815, -15.5456}
|{-0.566, 6.0741, -0.0954}
{-11.133, -7.2712, -0.759}
|{-0.566, 6.0741, -0.0954}
{-11.133, -7.2712, -0.759}
|{-2.0168, 5.3508, 0.3446}
{-5.5258, -4.8626, 0.9122}
|{-2.0168, 5.3508, 0.3446}
{-5.5258, -4.8626, 0.9122}
|{-1.8379, 4.1939, 1.0466}
{-3.9145, -4.5921, -6.122}
