{-2.5929, 4.5346, 7.7979}
|Stopped!{-2.5929, 4.5346, 7.7979}
|{-0.4631, -0.2011, 1.6557}
{-0.4238, 5.4731, 7.4053}
|{-0.4631, -0.2011, 1.6557}
{-0.4238, 5.4731, 7.4053}
|{-0.9702, 0.8023, 2.068}
{-0.4693, 4.7597, 9.493}
|{-0.9702, 0.8023, 2.068}
{-0.4693, 4.7597, 9.493}
|{-1.3185, 1.8633, 2.3897}
{0.8404, 3.9528, 9.3158}
|{-1.3185, 1.8633, 2.3897}
{0.8404, 3.9528, 9.3158}
|{-1.0298, 1.7206, 2.4706}
{0.9313, 3.7613, 7.5705}
|{-1.0298, 1.7206, 2.4706}
{0.9313, 3.7613, 7.5705}
|{-0.412, 0.5733, 1.7377}
{1.245, 5.7628, 6.3614}
|{-0.412, 0.5733, 1.7377}
{1.245, 5.7628, 6.3614}
|{-0.2874, -0.6187, 0.9633}
{3.4165, 5.8395, 6.5769}
|{-0.2874, -0.6187, 0.9633}
{3.4165, 5.8395, 6.5769}
|{-0.9702, -0.2182, 0.8919}
{6.6248, 6.0573, 8.8921}
|{-0.9702, -0.2182, 0.8919}
{6.6248, 6.0573, 8.8921}
|{-1.6232, 0.9643, 0.8056}
{3.7302, 3.8954, 9.3422}
|{-1.6232, 0.9643, 0.8056}
{3.7302, 3.8954, 9.3422}
|{-1.6978, 1.1656, 0.0866}
{0.103, 3.3591, 11.0875}
|{-1.6978, 1.1656, 0.0866}
{0.103, 3.3591, 11.0875}
|{-1.2834, 0.2122, -0.902}
{-0.1748, 3.7685, 10.4914}
|{-1.2834, 0.2122, -0.902}
{-0.1748, 3.7685, 10.4914}
|{-0.6911, -0.2757, -1.1736}
{0.1389, 2.4205, 8.6503}
|{-0.6911, -0.2757, -1.1736}
{0.1389, 2.4205, 8.6503}
|{-0.0264, -0.4664, -1.0437}
{2.2098, 4.0749, 8.3629}
|{-0.0264, -0.4664, -1.0437}
{2.2098, 4.0749, 8.3629}
|{0.4903, -0.4749, -0.7752}
{-0.34, 4.9057, 9.1123}
|{0.4903, -0.4749, -0.7752}
{-0.34, 4.9057, 9.1123}
|{0.5425, -0.4866, -0.4354}
{0.0311, 4.7477, 8.7317}
|{0.5425, -0.4866, -0.4354}
{0.0311, 4.7477, 8.7317}
|{0.2581, 0.4508, -0.1126}
{0.0407, 4.2282, 9.4427}
|{0.2581, 0.4508, -0.1126}
{0.0407, 4.2282, 9.4427}
|{0.0376, 0.7374, 0.0131}
{0.2274, 4.7884, 8.7436}
|{0.0376, 0.7374, 0.0131}
{0.2274, 4.7884, 8.7436}
|{0.0258, -0.5047, -0.0498}
{0.6895, 4.6878, 8.6239}
|{0.0258, -0.5047, -0.0498}
{0.6895, 4.6878, 8.6239}
|{0.126, -1.0533, -0.1137}
{1.47, 4.4819, 8.3222}
|{0.126, -1.0533, -0.1137}
{1.47, 4.4819, 8.3222}
|{0.2123, -0.9426, -0.168}
{1.0918, 4.4867, 8.1475}
|{0.2123, -0.9426, -0.168}
{1.0918, 4.4867, 8.1475}
|{0.3124, -0.6123, -0.3385}
{0.7015, 4.1707, 7.252}
|{0.3124, -0.6123, -0.3385}
{0.7015, 4.1707, 7.252}
|{0.5297, -0.0765, -0.4162}
{1.2474, 4.1779, 5.3558}
|{0.5297, -0.0765, -0.4162}
{1.2474, 4.1779, 5.3558}
|{0.7651, 0.6127, -0.4098}
{0.838, 4.8339, 3.972}
|{0.7651, 0.6127, -0.4098}
{0.838, 4.8339, 3.972}
|{0.7108, 0.8268, -0.4982}
{-0.2274, 4.604, 4.9416}
|{0.7108, 0.8268, -0.4982}
{-0.2274, 4.604, 4.9416}
|{0.1792, 0.062, -0.4855}
{0.7422, 3.9217, 5.7341}
|{0.1792, 0.062, -0.4855}
{0.7422, 3.9217, 5.7341}
|{-0.4834, -0.2544, -0.429}
{1.7286, 2.3152, 6.1962}
|{-0.4834, -0.2544, -0.429}
{1.7286, 2.3152, 6.1962}
|{-0.9286, -0.1308, -0.4823}
{4.3934, 1.221, 5.217}
|{-0.9286, -0.1308, -0.4823}
{4.3934, 1.221, 5.217}
|{-0.8946, 0.7523, -0.7859}
{3.699, -0.486, 3.5051}
|{-0.8946, 0.7523, -0.7859}
{3.699, -0.486, 3.5051}
|{-0.5185, 2.1552, -1.7297}
{3.3974, -1.3934, 1.2234}
|{-0.5185, 2.1552, -1.7297}
{3.3974, -1.3934, 1.2234}
|{-0.0786, 3.6668, -2.4402}
{3.0981, -2.1332, -0.8643}
|{-0.0786, 3.6668, -2.4402}
{3.0981, -2.1332, -0.8643}
|{0.0152, 4.5776, -2.6309}
