{0.2346, 3.371, 12.0764}
|Stopped!{0.2346, 3.371, 12.0764}
|{-0.1835, -1.2879, 0.9805}
{0.5076, 3.8451, 8.8705}
|{-0.1835, -1.2879, 0.9805}
{0.5076, 3.8451, 8.8705}
|{0.1563, -1.0951, 0.4852}
{1.8699, 2.9497, 7.4986}
|{0.1563, -1.0951, 0.4852}
{1.8699, 2.9497, 7.4986}
|{-0.3028, -0.8426, -0.0219}
{1.1995, 3.1627, 11.6191}
|{-0.3028, -0.8426, -0.0219}
{1.1995, 3.1627, 11.6191}
|{-0.7897, -0.2929, -0.3244}
{-0.6991, 3.2992, 11.1306}
|{-0.7897, -0.2929, -0.3244}
{-0.6991, 3.2992, 11.1306}
|{-0.3071, -0.0085, -0.4245}
{-1.0774, 4.1515, 10.173}
|{-0.3071, -0.0085, -0.4245}
{-1.0774, 4.1515, 10.173}
|{-0.1122, 0.2738, -0.4906}
{-0.486, 3.9361, 9.73}
|{-0.1122, 0.2738, -0.4906}
{-0.486, 3.9361, 9.73}
|{0.1488, 0.4634, -0.3606}
{-1.166, 3.1915, 8.9423}
|{0.1488, 0.4634, -0.3606}
{-1.166, 3.1915, 8.9423}
|{0.3225, 0.2951, -0.1838}
{-1.1157, 3.6607, 8.1547}
|{0.3225, 0.2951, -0.1838}
{-1.1157, 3.6607, 8.1547}
|{0.1393, 0.0043, 0.0516}
{-0.6153, 4.051, 8.9136}
|{0.1393, 0.0043, 0.0516}
{-0.6153, 4.051, 8.9136}
|{-0.028, -0.212, 0.1464}
{0.4573, 3.6344, 8.9854}
|{-0.028, -0.212, 0.1464}
{0.4573, 3.6344, 8.9854}
|{-0.0216, -0.359, 0.0761}
{0.7398, 3.5267, 9.2225}
|{-0.0216, -0.359, 0.0761}
{0.7398, 3.5267, 9.2225}
|{-0.0504, -0.3025, -0.1145}
{1.3527, 2.9832, 9.6558}
|{-0.0504, -0.3025, -0.1145}
{1.3527, 2.9832, 9.6558}
|{-0.0908, 0.1055, -0.3148}
{0.6752, 2.5139, 8.7005}
|{-0.0908, 0.1055, -0.3148}
{0.6752, 2.5139, 8.7005}
|{-0.3263, 0.9577, -0.367}
{1.4485, 2.6025, 9.5744}
|{-0.3263, 0.9577, -0.367}
{1.4485, 2.6025, 9.5744}
|{-0.7439, 1.8504, -0.3851}
{0.9912, 3.4069, 13.7906}
|{-0.7439, 1.8504, -0.3851}
{0.9912, 3.4069, 13.7906}
|{-0.8642, 3.1425, -0.5897}
{-0.8404, 2.1452, 15.591}
|{-0.8642, 3.1425, -0.5897}
{-0.8404, 2.1452, 15.591}
|{-0.6544, 5.7119, -0.6365}
{-3.8235, -0.3663, 11.6646}
|{-0.6544, 5.7119, -0.6365}
{-3.8235, -0.3663, 11.6646}
|{-0.8557, 8.831, -0.3404}
{-8.4084, -2.0901, 2.1572}
|{-0.8557, 8.831, -0.3404}
{-8.4084, -2.0901, 2.1572}
|{-1.8634, 10.153, 0.7238}
{4.3287, 1.7142, -3.45}
|{-1.8634, 10.153, 0.7238}
{4.3287, 1.7142, -3.45}
|{-2.4334, 3.8136, 1.51}
{0.6919, -1.8531, 4.3694}
|{-2.4334, 3.8136, 1.51}
{0.6919, -1.8531, 4.3694}
|{-2.6454, -0.1822, -0.0528}
{-0.0192, -5.0709, 10.5536}
|{-2.6454, -0.1822, -0.0528}
{-0.0192, -5.0709, 10.5536}
|{-3.5295, 1.1313, -0.1444}
{3.8475, -4.2928, 11.4946}
|{-3.5295, 1.1313, -0.1444}
{3.8475, -4.2928, 11.4946}
|{-2.2086, 1.2165, -0.3649}
{5.3127, -3.7445, 6.7876}
|{-2.2086, 1.2165, -0.3649}
{5.3127, -3.7445, 6.7876}
|{-0.8344, 0.898, -1.5132}
{3.1196, -5.6144, 1.4653}
|{-0.8344, 0.898, -1.5132}
{3.1196, -5.6144, 1.4653}
|{-0.8973, 0.963, -2.6722}
{-3.8738, -7.829, -3.6823}
|{-0.8973, 0.963, -2.6722}
{-3.8738, -7.829, -3.6823}
|{-2.2448, 1.3827, -3.092}
{-3.8906, -8.576, -1.1995}
|{-2.2448, 1.3827, -3.092}
{-3.8906, -8.576, -1.1995}
|{-3.0917, 0.7329, -2.8097}
{-2.9856, -10.7835, 0.3472}
|{-3.0917, 0.7329, -2.8097}
{-2.9856, -10.7835, 0.3472}
|{-3.6478, 0.6903, -2.9684}
{-6.2201, -12.5289, 4.1922}
|{-3.6478, 0.6903, -2.9684}
{-6.2201, -12.5289, 4.1922}
|{-4.01, 0.947, -3.6448}
{-9.9072, -12.3828, 6.1531}
|{-4.01, 0.947, -3.6448}
{-9.9072, -12.3828, 6.1531}
|{-3.7468, 2.1359, -4.0986}
{-11.7579, -13.2663, 2.9975}
|{-3.7468, 2.1359, -4.0986}
{-11.7579, -13.2663, 2.9975}
|{-3.1503, 3.4642, -4.1519}
{-14.1282, -14.2359, -1.7166}
|{-3.1503, 3.4642, -4.1519}
{-14.1282, -14.2359, -1.7166}
|{-2.7604, 4.065, -4.3724}
{-19.5606, -15.2822, -3.3088}
|{-2.7604, 4.065, -4.3724}
{-19.5606, -15.2822, -3.3088}
|{-2.7977, 4.9663, -4.4821}
{-19.6127, -14.71, -4.8722}
|{-2.7977, 4.9663, -4.4821}
{-19.6127, -14.71, -4.8722}
|{-2.8019, 5.7897, -3.9378}
{-19.6127, -13.0029, -6.1459}
|{-2.8019, 5.7897, -3.9378}
{-19.6127, -13.0029, -6.1459}
|{-2.7338, 6.3053, -2.8576}
{-19.6127, -12.1602, -9.6702}
|{-2.7338, 6.3053, -2.8576}
{-19.6127, -12.1602, -9.6702}
|{-2.7263, 6.088, -1.6869}
{-19.6127, -11.1881, -9.4739}
|{-2.7263, 6.088, -1.6869}
{-19.6127, -11.1881, -9.4739}
|{-3.0416, 5.6321, -0.7825}
{-19.6127, -8.3917, 0.5914}
|{-3.0416, 5.6321, -0.7825}
{-19.6127, -8.3917, 0.5914}
|{-3.3154, 5.794, 0.0122}
{-14.8536, -1.5658, 4.1755}
|{-3.3154, 5.794, 0.0122}
{-14.8536, -1.5658, 4.1755}
|{-0.2293, 8.2824, 0.4873}
{-9.9982, -4.3574, -3.6583}
|{-0.2293, 8.2824, 0.4873}
{-9.9982, -4.3574, -3.6583}
|{1.2003, 7.9735, 0.4085}
{-9.2727, -3.5386, -5.4875}
|{1.2003, 7.9735, 0.4085}
{-9.2727, -3.5386, -5.4875}
|{0.5345, 7.4174, 0.1443}
{-9.0549, -2.7869, 0.8978}
|{0.5345, 7.4174, 0.1443}
{-9.0549, -2.7869, 0.8978}
|{-1.7335, 5.1825, 0.1944}
{-2.2075, 2.1284, 5.9472}
|{-1.7335, 5.1825, 0.1944}
{-2.2075, 2.1284, 5.9472}
|{0.3363, 2.8911, 0.5598}
{-2.0925, -1.3024, 1.0702}
|{0.3363, 2.8911, 0.5598}
{-2.0925, -1.3024, 1.0702}
|{1.5688, 2.0102, 0.2402}
{-3.5003, -1.9106, -3.6655}
|{1.5688, 2.0102, 0.2402}
{-3.5003, -1.9106, -3.6655}
|{1.3675, 1.7012, 0.2285}
{-1.0032, -2.9042, -2.4421}
|{1.3675, 1.7012, 0.2285}
{-1.0032, -2.9042, -2.4421}
|{1.0437, 1.0184, -0.0496}
{-2.0806, -5.3798, -0.5267}
|{1.0437, 1.0184, -0.0496}
{-2.0806, -5.3798, -0.5267}
|{1.0469, 0.0533, -0.3116}
{-3.8355, -6.8211, -1.6735}
|{1.0469, 0.0533, -0.3116}
{-3.8355, -6.8211, -1.6735}
|{1.2642, 0.2706, -0.0155}
{-3.1005, -5.2505, -0.5291}
|{1.2642, 0.2706, -0.0155}
{-3.1005, -5.2505, -0.5291}
|{1.7755, 0.1129, 0.3765}
{-2.0231, -5.6671, -0.0383}
|{1.7755, 0.1129, 0.3765}
{-2.0231, -5.6671, -0.0383}
|{2.3912, -0.0959, 0.417}
{-2.071, -8.3007, -2.1428}
|{2.3912, -0.0959, 0.417}
{-2.071, -8.3007, -2.1428}
|{2.6203, 0.1555, 0.1432}
{-3.2106, -10.3118, -8.4276}
|{2.6203, 0.1555, 0.1432}
{-3.2106, -10.3118, -8.4276}
|{2.2474, 0.4218, 0.0069}
{-3.8092, -12.8784, -11.2958}
|{2.2474, 0.4218, 0.0069}
{-3.8092, -12.8784, -11.2958}
|{1.4367, 0.1087, 0.4447}
{-3.2417, -9.0549, -7.0485}
|{1.4367, 0.1087, 0.4447}
{-3.2417, -9.0549, -7.0485}
|{0.903, -0.2791, 0.5214}
{-2.4086, -6.9671, 0.2083}
|{0.903, -0.2791, 0.5214}
{-2.4086, -6.9671, 0.2083}
|{1.0937, 0.1854, 0.4}
{-1.7286, -8.7364, 0.7925}
|{1.0937, 0.1854, 0.4}
{-1.7286, -8.7364, 0.7925}
|{1.6945, 0.0778, 0.1859}
{-1.0175, -9.153, -0.0838}
|{1.6945, 0.0778, 0.1859}
{-1.0175, -9.153, -0.0838}
|{2.5957, -1.9292, 0.155}
{-2.1787, -10.2113, 1.2713}
|{2.5957, -1.9292, 0.155}
{-2.1787, -10.2113, 1.2713}
|{2.7768, -2.2541, -0.3255}
{-9.1004, -11.4874, 0.395}
|{2.7768, -2.2541, -0.3255}
{-9.1004, -11.4874, 0.395}
|{2.7982, -0.7159, -0.4714}
{-6.6942, -14.3389, -2.9449}
|{2.7982, -0.7159, -0.4714}
{-6.6942, -14.3389, -2.9449}
|{2.6298, -1.0376, 0.7994}
{0.8906, -10.3621, 0.9984}
|{2.6298, -1.0376, 0.7994}
{0.8906, -10.3621, 0.9984}
|{1.7957, -0.4091, 0.8623}
{2.3774, -8.5617, 1.9441}
|{1.7957, -0.4091, 0.8623}
{2.3774, -8.5617, 1.9441}
|{2.0099, -1.0834, 0.1464}
{-3.8403, -11.6574, -1.5634}
|{2.0099, -1.0834, 0.1464}
{-3.8403, -11.6574, -1.5634}
|{1.458, -0.5784, -0.449}
{-1.2905, -8.8777, -0.5938}
|{1.458, -0.5784, -0.449}
{-1.2905, -8.8777, -0.5938}
|{0.1116, -1.3667, -0.3319}
{-6.5122, -7.5657, -1.0343}
|{0.1116, -1.3667, -0.3319}
{-6.5122, -7.5657, -1.0343}
|{-0.6906, 0.0692, 0.0751}
{-1.7071, -5.77, -3.2417}
|{-0.6906, 0.0692, 0.0751}
{-1.7071, -5.77, -3.2417}
|{-1.8826, 1.9548, 0.7845}
{-3.8403, -11.0205, -0.1796}
|{-1.8826, 1.9548, 0.7845}
{-3.8403, -11.0205, -0.1796}
|{-2.5442, 2.3702, 0.3851}
{-2.1524, -8.4276, 0.8715}
|{-2.5442, 2.3702, 0.3851}
{-2.1524, -8.4276, 0.8715}
|{-2.2917, 2.2232, 0.1006}
{-1.1109, -6.5242, 0.34}
|{-2.2917, 2.2232, 0.1006}
{-1.1109, -6.5242, 0.34}
|{-1.5652, 1.4733, -0.3894}
{-1.9082, -6.517, -0.6632}
|{-1.5652, 1.4733, -0.3894}
{-1.9082, -6.517, -0.6632}
|{-0.7737, 1.2155, -1.2725}
{-2.9497, -7.8626, -0.1341}
|{-0.7737, 1.2155, -1.2725}
{-2.9497, -7.8626, -0.1341}
|{-0.2517, -0.3995, -1.4163}
{-2.8754, -10.7045, -0.7781}
|{-0.2517, -0.3995, -1.4163}
{-2.8754, -10.7045, -0.7781}
|{0.2234, -1.3614, -1.1266}
{-4.6232, -14.6094, -0.6488}
|{0.2234, -1.3614, -1.1266}
{-4.6232, -14.6094, -0.6488}
|{0.2159, -1.6352, -0.8283}
{-4.3096, -16.0076, -4.5131}
|{0.2159, -1.6352, -0.8283}
{-4.3096, -16.0076, -4.5131}
|{-0.3156, 0.3824, -1.1287}
