{-2.241, 5.4492, 9.0597}
|{-1.3345, -0.2054, -0.3565}
{-5.0637, 3.3136, 9.0692}
|{-1.3345, -0.2054, -0.3565}
{-5.0637, 3.3136, 9.0692}
|{-1.1129, -1.0821, -0.2564}
{-3.7517, 2.8611, 10.6255}
|{-1.1129, -1.0821, -0.2564}
{-3.7517, 2.8611, 10.6255}
|{-1.3813, -1.2664, -0.0646}
{-2.1069, 2.8228, 11.6023}
|{-1.3813, -1.2664, -0.0646}
{-2.1069, 2.8228, 11.6023}
|{-1.9459, -0.2608, -0.0093}
{-2.2769, 2.4157, 10.5752}
|{-1.9459, -0.2608, -0.0093}
{-2.2769, 2.4157, 10.5752}
|{-2.1494, 0.5882, -0.1531}
{-1.2139, 2.5259, 10.568}
|{-2.1494, 0.5882, -0.1531}
{-1.2139, 2.5259, 10.568}
|{-1.734, 0.372, -0.1861}
{-2.5762, 1.6568, 10.0102}
|{-1.734, 0.372, -0.1861}
{-2.5762, 1.6568, 10.0102}
|{-0.9787, -0.5644, -0.3363}
{-3.0119, 0.5938, 8.4396}
|{-0.9787, -0.5644, -0.3363}
{-3.0119, 0.5938, 8.4396}
|{-0.658, -0.7987, -0.3491}
{-3.7757, 0.8475, 8.9208}
|{-0.658, -0.7987, -0.3491}
{-3.7757, 0.8475, 8.9208}
|{-1.0287, -0.199, -0.169}
{-2.8228, 1.8842, 8.6215}
|{-1.0287, -0.199, -0.169}
{-2.8228, 1.8842, 8.6215}
|{-1.1172, -0.2097, 0.0898}
{-3.711, 2.4517, 8.023}
|{-1.1172, -0.2097, 0.0898}
{-3.711, 2.4517, 8.023}
|{-0.9201, -0.9713, 0.1484}
{-1.1756, 0.2179, 6.766}
|{-0.9201, -0.9713, 0.1484}
{-1.1756, 0.2179, 6.766}
|{-1.4058, -0.8456, -0.4694}
{-2.083, -0.0551, 9.2273}
|{-1.4058, -0.8456, -0.4694}
{-2.083, -0.0551, 9.2273}
|{-2.24, -0.7838, -0.9062}
{-4.5179, 0.9098, 7.2951}
|{-2.24, -0.7838, -0.9062}
{-4.5179, 0.9098, 7.2951}
|{-2.2304, -0.4632, -0.0061}
{-2.2266, 0.0718, 8.0828}
|{-2.2304, -0.4632, -0.0061}
{-2.2266, 0.0718, 8.0828}
|{-1.3643, 0.78, 0.8248}
{-3.4213, -1.2234, 9.2967}
|{-1.3643, 0.78, 0.8248}
{-3.4213, -1.2234, 9.2967}
|{-0.4588, 1.5608, 0.746}
{-1.8723, -0.9361, 10.422}
|{-0.4588, 1.5608, 0.746}
{-1.8723, -0.9361, 10.422}
|{-0.1648, 1.5171, 0.2528}
{-2.8108, -3.6152, 7.9057}
|{-0.1648, 1.5171, 0.2528}
{-2.8108, -3.6152, 7.9057}
|{-0.3502, 0.8258, -0.282}
{-3.1771, -1.3001, 8.2696}
|{-0.3502, 0.8258, -0.282}
{-3.1771, -1.3001, 8.2696}
|{-0.8018, 0.4316, -0.6995}
{-2.8515, -2.545, 7.6662}
|{-0.8018, 0.4316, -0.6995}
{-2.8515, -2.545, 7.6662}
|{-0.6559, 0.6212, -0.7986}
{-2.6073, -3.1843, 7.1611}
|{-0.6559, 0.6212, -0.7986}
{-2.6073, -3.1843, 7.1611}
|{-0.0061, 0.9696, -0.8838}
{-2.229, -3.225, 6.7349}
|{-0.0061, 0.9696, -0.8838}
{-2.229, -3.225, 6.7349}
|{0.6309, 1.4894, -1.1619}
{-3.5171, -3.5602, 4.1946}
|{0.6309, 1.4894, -1.1619}
{-3.5171, -3.5602, 4.1946}
|{1.0027, 1.6045, -1.6551}
{-3.9887, -2.8036, 4.0701}
|{1.0027, 1.6045, -1.6551}
{-3.9887, -2.8036, 4.0701}
|{0.665, 1.9145, -1.8948}
{-3.814, -2.0327, 4.695}
|{0.665, 1.9145, -1.8948}
{-3.814, -2.0327, 4.695}
|{-0.0317, 2.4088, -1.6125}
{-4.3479, -1.8938, 5.8562}
|{-0.0317, 2.4088, -1.6125}
{-4.3479, -1.8938, 5.8562}
|{-0.3779, 3.0991, -1.3834}
{-5.9113, -2.9592, 7.3694}
|{-0.3779, 3.0991, -1.3834}
{-5.9113, -2.9592, 7.3694}
|{-0.25, 3.4272, -1.4058}
{-5.0039, -5.4372, 8.1307}
|{-0.25, 3.4272, -1.4058}
{-5.0039, -5.4372, 8.1307}
|{-0.004, 2.9393, -1.4484}
{-5.0566, -3.9361, 6.4404}
|{-0.004, 2.9393, -1.4484}
{-5.0566, -3.9361, 6.4404}
|{0.1175, 2.7198, -1.7243}
{-5.7389, -3.8858, 4.5394}
|{0.1175, 2.7198, -1.7243}
{-5.7389, -3.8858, 4.5394}
|{-0.511, 3.4538, -2.0056}
{-6.9168, -4.3766, 6.699}
|{-0.511, 3.4538, -2.0056}
{-6.9168, -4.3766, 6.699}
|{-1.2184, 3.8692, -1.9725}
{-7.8985, -6.4021, 10.2639}
|{-1.2184, 3.8692, -1.9725}
{-7.8985, -6.4021, 10.2639}
|{-1.5433, 3.4495, -2.1952}
{-7.7859, -6.0861, 10.1897}
|{-1.5433, 3.4495, -2.1952}
{-7.7859, -6.0861, 10.1897}
|{-1.2546, 2.968, -2.421}
{-8.1139, -5.6982, 7.7716}
|{-1.2546, 2.968, -2.421}
{-8.1139, -5.6982, 7.7716}
|{-0.6889, 2.6655, -2.6138}
{-7.841, -6.6343, 6.7612}
|{-0.6889, 2.6655, -2.6138}
{-7.841, -6.6343, 6.7612}
|{-0.4311, 2.4269, -2.5552}
{-8.3917, -6.9528, 6.9839}
|{-0.4311, 2.4269, -2.5552}
{-8.3917, -6.9528, 6.9839}
|{-0.7188, 2.2362, -2.5084}
{-9.3972, -6.6942, 9.2009}
|{-0.7188, 2.2362, -2.5084}
{-9.3972, -6.6942, 9.2009}
|{-1.0042, 2.1158, -2.5211}
{-8.9687, -6.8881, 8.758}
|{-1.0042, 2.1158, -2.5211}
{-8.9687, -6.8881, 8.758}
|{-0.5238, 1.8271, -2.4892}
{-9.5098, -6.4308, 6.8905}
|{-0.5238, 1.8271, -2.4892}
{-9.5098, -6.4308, 6.8905}
|{0.2304, 1.3392, -2.5403}
{-9.1746, -6.1986, 5.5761}
|{0.2304, 1.3392, -2.5403}
{-9.1746, -6.1986, 5.5761}
|{0.3572, 0.5243, -2.5883}
{-8.521, -6.3398, 5.2409}
|{0.3572, 0.5243, -2.5883}
{-8.521, -6.3398, 5.2409}
|{-0.1584, -0.101, -2.4721}
{-8.5688, -7.0006, 5.6623}
|{-0.1584, -0.101, -2.4721}
{-8.5688, -7.0006, 5.6623}
|{-0.6026, -0.2512, -2.2101}
{-8.4228, -7.4771, 6.2106}
|{-0.6026, -0.2512, -2.2101}
{-8.4228, -7.4771, 6.2106}
|{-0.7081, -0.2256, -1.9651}
{-8.2145, -7.5226, 6.256}
|{-0.7081, -0.2256, -1.9651}
{-8.2145, -7.5226, 6.256}
