{1.8028, 3.7206, 7.4891}
|Stopped!{1.8028, 3.7206, 7.4891}
|{0.2712, -0.1592, -0.1549}
{1.0702, 3.1149, 6.6726}
|{0.2712, -0.1592, -0.1549}
{1.0702, 3.1149, 6.6726}
|{0.1104, -0.0772, -0.1165}
{0.6105, 2.8683, 7.252}
|{0.1104, -0.0772, -0.1165}
{0.6105, 2.8683, 7.252}
|{-0.0664, -0.1219, -0.0984}
{1.0032, 2.5307, 7.185}
|{-0.0664, -0.1219, -0.0984}
{1.0032, 2.5307, 7.185}
|{-0.0228, -0.4468, -0.0334}
{1.6376, 3.4644, 7.106}
|{-0.0228, -0.4468, -0.0334}
{1.6376, 3.4644, 7.106}
|{0.137, -0.8324, -0.0217}
{1.3815, 3.292, 7.9607}
|{0.137, -0.8324, -0.0217}
{1.3815, 3.292, 7.9607}
|{0.0625, -0.9517, -0.1463}
{0.6632, 3.3423, 8.521}
|{0.0625, -0.9517, -0.1463}
{0.6632, 3.3423, 8.521}
|{-0.3423, -0.6929, -0.2198}
{0.6967, 3.2082, 10.5105}
|{-0.3423, -0.6929, -0.2198}
{0.6967, 3.2082, 10.5105}
|{-0.7024, -0.4756, -0.2475}
{0.0886, 2.1931, 10.3837}
|{-0.7024, -0.4756, -0.2475}
{0.0886, 2.1931, 10.3837}
|{-0.5341, -0.6045, -0.3221}
{-0.2418, 2.5115, 9.3661}
|{-0.5341, -0.6045, -0.3221}
{-0.2418, 2.5115, 9.3661}
|{-0.1165, -0.9081, -0.2241}
{0.316, 3.1603, 8.5521}
|{-0.1165, -0.9081, -0.2241}
{0.316, 3.1603, 8.5521}
|{0.1583, -1.1936, -0.0185}
{1.1588, 3.9816, 8.9256}
|{0.1583, -1.1936, -0.0185}
{1.1588, 3.9816, 8.9256}
|{-0.0494, -0.9603, 0.186}
{1.7119, 4.0965, 9.8306}
|{-0.0494, -0.9603, 0.186}
{1.7119, 4.0965, 9.8306}
|{-0.5511, -0.4521, 0.2404}
{1.6807, 2.7222, 10.6518}
|{-0.5511, -0.4521, 0.2404}
{1.6807, 2.7222, 10.6518}
|{-0.794, -0.1805, 0.0997}
{1.0798, 1.7549, 9.8138}
|{-0.794, -0.1805, 0.0997}
{1.0798, 1.7549, 9.8138}
|{-0.5181, -0.3403, 0.0305}
{0.6033, 1.1971, 7.75}
|{-0.5181, -0.3403, 0.0305}
{0.6033, 1.1971, 7.75}
|{0.1392, -0.8623, 0.1605}
{1.1803, 0.3352, 5.126}
|{0.1392, -0.8623, 0.1605}
{1.1803, 0.3352, 5.126}
|{0.8976, -1.7262, 0.496}
{2.466, -0.2849, 3.4453}
|{0.8976, -1.7262, 0.496}
{2.466, -0.2849, 3.4453}
|{1.2279, -2.539, 0.9711}
{3.0765, -1.6089, 2.4445}
|{1.2279, -2.539, 0.9711}
{3.0765, -1.6089, 2.4445}
|{1.0425, -3.0013, 1.3567}
{2.7222, -3.5913, 1.549}
|{1.0425, -3.0013, 1.3567}
{2.7222, -3.5913, 1.549}
|{0.7804, -3.3081, 1.7157}
{2.5786, -4.9656, 1.0343}
|{0.7804, -3.3081, 1.7157}
{2.5786, -4.9656, 1.0343}
|{0.659, -3.8088, 2.1866}
{3.5386, -6.6391, 2.2625}
|{0.659, -3.8088, 2.1866}
{3.5386, -6.6391, 2.2625}
|{0.7048, -4.7004, 2.7224}
{4.5059, -8.4204, 3.5195}
|{0.7048, -4.7004, 2.7224}
{4.5059, -8.4204, 3.5195}
|{1.05, -5.7316, 3.2795}
{5.4444, -10.0173, 4.9416}
|{1.05, -5.7316, 3.2795}
{5.4444, -10.0173, 4.9416}
|{1.7626, -6.5636, 3.8921}
{7.616, -10.6303, 3.9935}
|{1.7626, -6.5636, 3.8921}
{7.616, -10.6303, 3.9935}
|{2.7182, -6.8608, 4.6878}
{10.4675, -10.1466, 3.2848}
|{2.7182, -6.8608, 4.6878}
{10.4675, -10.1466, 3.2848}
|{3.4841, -6.6328, 5.4548}
{15.1194, -8.7747, 2.8108}
|{3.4841, -6.6328, 5.4548}
{15.1194, -8.7747, 2.8108}
|{4.0817, -6.1193, 6.0141}
{19.6133, -5.7245, 0.7829}
|{4.0817, -6.1193, 6.0141}
{19.6133, -5.7245, 0.7829}
|{4.4354, -4.9976, 6.2154}
{19.6133, -2.0782, 1.1085}
|{4.4354, -4.9976, 6.2154}
{19.6133, -2.0782, 1.1085}
|{3.8132, -2.8799, 5.85}
{19.6133, -0.589, 2.0255}
|{3.8132, -2.8799, 5.85}
{19.6133, -0.589, 2.0255}
|{2.6031, -0.4436, 4.9254}
{19.6133, 0.486, 2.739}
|{2.6031, -0.4436, 4.9254}
{19.6133, 0.486, 2.739}
|{1.7882, 1.1436, 3.8665}
{19.6133, 1.3264, 1.3096}
|{1.7882, 1.1436, 3.8665}
{19.6133, 1.3264, 1.3096}
|{1.6827, 1.5197, 2.8886}
{18.6436, 1.6664, -1.3336}
|{1.6827, 1.5197, 2.8886}
{18.6436, 1.6664, -1.3336}
|{1.9267, 1.1639, 2.0524}
{17.0276, 2.49, -2.9401}
|{1.9267, 1.1639, 2.0524}
{17.0276, 2.49, -2.9401}
|{1.9789, 0.6877, 1.4164}
{17.7482, 4.0294, -5.2529}
|{1.9789, 0.6877, 1.4164}
{17.7482, 4.0294, -5.2529}
