{0.1437, 4.0749, 9.6941}
|Stopped!{0.1437, 4.0749, 9.6941}
|{0.0695, 0.1749, 0.1122}
{1.0654, 5.4971, 9.1818}
|{0.0695, 0.1749, 0.1122}
{1.0654, 5.4971, 9.1818}
|{0.2474, 0.2378, 0.1335}
{-4.276, 1.8579, 7.5609}
|{0.2474, 0.2378, 0.1335}
{-4.276, 1.8579, 7.5609}
|{0.3827, 0.1813, 0.0035}
{-2.2913, 2.7557, 6.8953}
|{0.3827, 0.1813, 0.0035}
{-2.2913, 2.7557, 6.8953}
|{0.2282, 0.5083, 0.4669}
{2.1141, 6.8546, 9.9623}
|{0.2282, 0.5083, 0.4669}
{2.1141, 6.8546, 9.9623}
|{-0.3321, 0.781, 1.1444}
{2.2577, 5.9352, 11.4036}
|{-0.3321, 0.781, 1.1444}
{2.2577, 5.9352, 11.4036}
|{-0.379, 0.7448, 0.975}
{0.6488, 3.6536, 9.3134}
|{-0.379, 0.7448, 0.975}
{0.6488, 3.6536, 9.3134}
|{0.013, 0.7704, 0.4189}
{0.3807, 4.1372, 7.1323}
|{0.013, 0.7704, 0.4189}
{0.3807, 4.1372, 7.1323}
|{0.2453, 0.6521, 0.1654}
{0.7853, 4.5705, 6.8833}
|{0.2453, 0.6521, 0.1654}
{0.7853, 4.5705, 6.8833}
|{-0.0061, 0.1877, 0.1058}
{0.6919, 4.7285, 8.2049}
|{-0.0061, 0.1877, 0.1058}
{0.6919, 4.7285, 8.2049}
|{-0.3886, -0.1713, 0.0759}
{0.5602, 4.3, 10.0533}
|{-0.3886, -0.1713, 0.0759}
{0.5602, 4.3, 10.0533}
|{-0.5739, -0.0222, 0.0259}
{0.5148, 3.7302, 9.7061}
|{-0.5739, -0.0222, 0.0259}
{0.5148, 3.7302, 9.7061}
|{-0.2874, 0.226, -0.0998}
{0.8978, 4.6663, 8.837}
|{-0.2874, 0.226, -0.0998}
{0.8978, 4.6663, 8.837}
|{0.0376, 0.2633, -0.2266}
{-0.2035, 4.379, 7.4723}
|{0.0376, 0.2633, -0.2266}
{-0.2035, 4.379, 7.4723}
|{0.1878, 0.0812, -0.4578}
{0.3879, 4.7549, 7.1012}
|{0.1878, 0.0812, -0.4578}
{0.3879, 4.7549, 7.1012}
|{0.0354, -0.0456, -0.5291}
{0.7159, 4.4221, 7.9535}
|{0.0354, -0.0456, -0.5291}
{0.7159, 4.4221, 7.9535}
|{-0.2298, -0.2512, -0.4919}
{-0.103, 4.5226, 8.6407}
|{-0.2298, -0.2512, -0.4919}
{-0.103, 4.5226, 8.6407}
|{-0.3417, -0.4845, -0.6218}
{0.3256, 3.4692, 8.4228}
|{-0.3417, -0.4845, -0.6218}
{0.3256, 3.4692, 8.4228}
|{-0.1925, -0.5143, -0.7326}
{-0.68, 3.9025, 9.323}
|{-0.1925, -0.5143, -0.7326}
{-0.68, 3.9025, 9.323}
|{-0.0551, -0.444, -0.6399}
{0.1963, 3.7565, 9.2057}
|{-0.0551, -0.444, -0.6399}
{0.1963, 3.7565, 9.2057}
|{-0.134, -0.1788, -0.1382}
{0.6584, 3.8403, 8.7077}
|{-0.134, -0.1788, -0.1382}
